userid,username,password,isblocked,lastlogin
83930,raji07,"""123456""",FALSE,21/2/2045
83931,rohan07,"""3215""",FALSE,25/6/2043
83932,hari_m,"""4553""",FALSE,30/5/2040
83933,indu_k,"""2344""",FALSE,24/6/2048
83934,loch_ness,"""5677""",FALSE,31/8/2047
83935,sen_lati,"""8654""",FALSE,3/4/2047
83936,haim_s01,"""8457""",FALSE,2/4/2039
83937,arun_bhave,"""0956""",FALSE,3/4/2038
83938,ranj_l,"""9475""",FALSE,5/9/2042
83939,ranj_b,"""4287""",FALSE,5/11/2015
83940,bhim_b,"""3490580""",FALSE,6/4/2019
83941,gonad_eer,"""784375""",FALSE,17/4/2022
83942,vino_p,"""89345""",FALSE,18/4/2026
83943,megh_s,"""48907""",FALSE,19/6/2029
83944,navi_v,"""59767""",FALSE,10/7/2040
83945,amit_c,"""4893857""",FALSE,11/4/2041
83946,anan_p,"""93475632""",FALSE,16/9/2045
83947,kris_tianoSui,"""240357""",FALSE,13/5/2046
83948,shin_d,"""49380""",TRUE ,14/4/2049
83949,nupu_d,"""743956""",TRUE ,15/4/2049
83950,arpi_d,"""8478""",FALSE,17/3/2036
83951,ben_dover ,"""73249""",TRUE ,29/8/2048
83952,Mike_hunt,"""387456""",FALSE,18/4/2033
